"action","boro","inspection_date","cuisine_description","dba","score","street","violation_description","zipcode","grade","lon"
NA,"MANHATTAN",2017-01-03,"Japanese","SHARAKU JAPANESE RESTAURANT",12,"STUYVESANT STREET","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10003,"A",NA
NA,"MANHATTAN",2017-01-03,"Italian","CACIO E VINO",7,"2 AVENUE","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10003,"A",NA
NA,"MANHATTAN",2017-01-03,"Japanese","PANYA/AUTRE KYOYA",11,"STUYVESANT STREET","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10003,"A",NA
NA,"MANHATTAN",2017-01-03,"American","KARMA",9,"1 AVENUE","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10003,"A",NA
NA,"MANHATTAN",2017-01-03,"Japanese","OH TAISHO",21,"ST MARKS PLACE","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10003,"B",NA
NA,"MANHATTAN",2017-01-03,"Japanese","SAKEBAR DECIBEL",2,"EAST    9 STREET","Proper sanitization not provided for utensil ware washing operation.",10003,"A",NA
NA,"MANHATTAN",2017-01-03,"Spanish","SOPHIE'S CUBAN CUISINE",42,"CHAMBERS STREET","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",10007,NA,NA
NA,"MANHATTAN",2017-01-03,"Sandwiches/Salads/Mixed Buffet","LENWICH",19,"W 23RD ST","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10010,NA,NA
NA,"MANHATTAN",2017-01-03,"Italian","TRATTORIA ZERO OTTO NOVE II",32,"WEST   21 STREET","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10010,NA,NA
NA,"MANHATTAN",2017-01-03,"Italian","BIRRERIA (EATALY)",12,"5 AVENUE","Hot food item not held at or above 140Âº F.",10010,"A",NA
NA,"MANHATTAN",2017-01-03,"American","THE CITY BAKERY",12,"WEST   18 STREET","Wiping cloths soiled or not stored in sanitizing solution.",10011,"A",NA
NA,"MANHATTAN",2017-01-03,"Italian","INTERMEZZO",12,"8 AVENUE","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",10011,"A",NA
NA,"MANHATTAN",2017-01-03,"Pizza/Italian","FILAGA",8,"9th AVE","Hot food item not held at or above 140Âº F.",10011,"A",NA
NA,"MANHATTAN",2017-01-03,"American","BURGER & BARREL",12,"WEST HOUSTON STREET","Live roaches present in facility's food and/or non-food areas.",10012,"A",NA
NA,"MANHATTAN",2017-01-03,"Juice, Smoothies, Fruit Salads","GREAT JONES JUICE BAR",10,"GREAT JONES STREET","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10012,"A",NA
NA,"MANHATTAN",2017-01-03,"Chinese","UNCLE TED'S",24,"BLEECKER STREET","Hot food item not held at or above 140Âº F.",10012,"B",NA
NA,"MANHATTAN",2017-01-03,"Bakery","INSOMNIA COOKIES",3,"MACDOUGAL ST","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10012,"A",NA
NA,"MANHATTAN",2017-01-03,"Italian","PETRARCA",13,"WHITE STREET","Single service item reused, improperly stored, dispensed; not used when required.",10013,"A",NA
NA,"MANHATTAN",2017-01-03,"American","THE CUPPING ROOM",11,"WEST BROADWAY","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10013,"A",NA
NA,"MANHATTAN",2017-01-03,"Mediterranean","MEME MEDITERRANEAN",11,"HUDSON STREET","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10014,"A",NA
NA,"MANHATTAN",2017-01-03,"French","HUDSON CLEARWATER",2,"HUDSON STREET","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10014,"A",NA
NA,"MANHATTAN",2017-01-03,"American","MARCHE MADISON",23,"EAST   40 STREET","Thawing procedures improper.",10016,NA,NA
NA,"MANHATTAN",2017-01-03,"Asian","MAY KAIDEE/DESI FOOD TRUCK",22,"E 28TH ST","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10016,NA,NA
NA,"MANHATTAN",2017-01-03,"American","AINSWORTH MIDTOWN",26,"E 33RD ST","Proper sanitization not provided for utensil ware washing operation.",10016,NA,NA
NA,"MANHATTAN",2017-01-03,"Korean","BREAD & BUTTER",30,"5TH AVE","Hot food item not held at or above 140Âº F.",10016,NA,NA
NA,"MANHATTAN",2017-01-03,"Bakery","LA DELICE PASTRY SHOP",10,"3 AVENUE","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10016,"A",NA
NA,"MANHATTAN",2017-01-03,"American","EVERYDAY GOURMET DELI",28,"LEXINGTON AVENUE","Hot food item not held at or above 140Âº F.",10017,NA,NA
NA,"MANHATTAN",2017-01-03,"Irish","BLAGGARD'S PUB",25,"WEST   38 STREET","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10018,NA,NA
NA,"MANHATTAN",2017-01-03,"Jewish/Kosher","COLBEH",8,"WEST 39 STREET","Evidence of mice or live mice present in facility's food and/or non-food areas.",10018,"A",NA
NA,"MANHATTAN",2017-01-03,"Indian","CURRY DREAM",21,"WEST   39 STREET","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",10018,NA,NA
NA,"MANHATTAN",2017-01-03,"Chicken","BONCHON",13,"WEST   38 STREET","Live roaches present in facility's food and/or non-food areas.",10018,"A",NA
NA,"MANHATTAN",2017-01-03,"Japanese","FUJI JAPANESE RESTAURANT",12,"WEST   56 STREET","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10019,"A",NA
NA,"MANHATTAN",2017-01-03,"Thai","PUFF CHA",21,"W 50TH ST","Evidence of mice or live mice present in facility's food and/or non-food areas.",10019,NA,NA
NA,"MANHATTAN",2017-01-03,"Tex-Mex","THE WAYLON",13,"10TH AVE","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10019,"A",NA
NA,"MANHATTAN",2017-01-03,"Chinese","CHONG QING XIAO MIAN NOODLE HOUSE",17,"9TH AVE","Evidence of mice or live mice present in facility's food and/or non-food areas.",10019,NA,NA
NA,"MANHATTAN",2017-01-03,"CafÃ©/Coffee/Tea","DEAN & DELUCA",10,"WEST   56 STREET","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10019,"A",NA
NA,"MANHATTAN",2017-01-03,"Greek","LOI ESTIATORIO",0,"W 58TH ST",NA,10019,"A",NA
NA,"MANHATTAN",2017-01-03,"Pizza","ANGELO'S PIZZA",12,"BROADWAY","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10019,"A",NA
NA,"MANHATTAN",2017-01-03,"American","THE SHOREHAM HOTEL",7,"WEST   55 STREET","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10019,"A",NA
NA,"MANHATTAN",2017-01-03,"American","T.G.I. FRIDAY'S",5,"5 AVENUE","Proper sanitization not provided for utensil ware washing operation.",10020,"A",NA
NA,"MANHATTAN",2017-01-03,"Delicatessen","PJ BERNSTEIN DELI & RESTAURANT",13,"THIRD AVENUE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10021,"A",NA
NA,"MANHATTAN",2017-01-03,"Sandwiches/Salads/Mixed Buffet","VOILA 76",13,"2 AVENUE","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10021,"A",NA
NA,"MANHATTAN",2017-01-03,"American","EVOLVE",9,"EAST 58 STREET","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10022,"A",NA
NA,"MANHATTAN",2017-01-03,"Turkish","ANKA GRILL",12,"LEXINGTON AVE","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10022,"A",NA
NA,"MANHATTAN",2017-01-03,"Bakery","ANDRE'S HUNGARIAN STRUDEL S & PASTRIES",12,"1 AVENUE","Evidence of mice or live mice present in facility's food and/or non-food areas.",10022,"A",NA
NA,"MANHATTAN",2017-01-03,"American","DIG INN SEASONAL MARKET",4,"EAST   52 STREET","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10022,"A",NA
NA,"MANHATTAN",2017-01-03,"Juice, Smoothies, Fruit Salads","GREEN GENERATION NYC INC",13,"BROADWAY","Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.",10025,"A",NA
NA,"MANHATTAN",2017-01-03,"Asian","LA OZEN ASIAN FUSION CUISINE",13,"AMSTERDAM AVE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10025,"A",NA
NA,"MANHATTAN",2017-01-03,"Thai","SPICE",8,"AMSTERDAM AVE","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",10025,"A",NA
NA,"MANHATTAN",2017-01-03,"Pizza","TWO BOOTS",12,"2 AVENUE","Hot food item not held at or above 140Âº F.",10028,"A",NA
NA,"MANHATTAN",2017-01-03,"American","GRACIE'S CAFE",16,"YORK AVENUE","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10028,"B",NA
NA,"MANHATTAN",2017-01-03,"Mexican","EL PASO TAQUERIA",23,"EAST   97 STREET","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10029,NA,NA
NA,"MANHATTAN",2017-01-03,"Chicken","TEXAS CHICKEN & BURGERS",17,"E 103RD ST","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10029,NA,NA
NA,"MANHATTAN",2017-01-03,"American","CAFE ON 5TH/STERLING AFFAIR",10,"5 AVENUE","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10029,NA,NA
NA,"MANHATTAN",2017-01-03,"Chinese","SILVER PALACE CHINESE RESTAURANT",21,"BROADWAY","No facilities available to wash, rinse and sanitize utensils and/or equipment.",10032,NA,NA
NA,"MANHATTAN",2017-01-03,"Pizza","SBARRO",9,"BROADWAY","Proper sanitization not provided for utensil ware washing operation.",10032,"A",NA
NA,"MANHATTAN",2017-01-03,"CafÃ©/Coffee/Tea","ESPRESSO MATTO",49,"W 46TH ST","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",10036,NA,NA
NA,"MANHATTAN",2017-01-03,"Donuts","DUNKIN DONUTS",9,"8TH AVE","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10036,"A",NA
NA,"MANHATTAN",2017-01-03,"Pizza","LITTLE ITALY PIZZA",15,"9TH AVE","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10036,NA,NA
NA,"MANHATTAN",2017-01-03,"Indian","INDIAN EXPRESS",15,"W 154TH ST","Food Protection Certificate not held by supervisor of food operations.",10039,NA,NA
NA,"BRONX",2017-01-03,"Spanish","JUNIOR' SEAFOOD RESTAURANT",14,"W BURNSIDE AVE","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10453,NA,NA
NA,"BRONX",2017-01-03,"Spanish","SAINT ANN'S CAFE RESTAURANT",14,"SAINT ANNS AVE","Food not cooked to required minimum temperature.",10454,NA,NA
NA,"BRONX",2017-01-03,"Spanish","KEVIN CAR WASH AND DELICATESSEN",3,"THIRD AVE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10456,NA,NA
NA,"BRONX",2017-01-03,"Caribbean","LAMMY'S",31,"EAST  233 STREET","Proper sanitization not provided for utensil ware washing operation.",10466,NA,NA
NA,"BRONX",2017-01-03,"Caribbean","CARIBBEAN CONNECTION CATERING SERVICES INC RESTAURANT",3,"LACONIA AVENUE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10466,"A",NA
NA,"BRONX",2017-01-03,"Juice, Smoothies, Fruit Salads","S & R LE JUICE BAR",37,"E GUNHILL RD","Wiping cloths soiled or not stored in sanitizing solution.",10467,NA,NA
NA,"BRONX",2017-01-03,"African","BRAVO AFRICAN RESTAURANT 2",49,"WHITE PLAINS RD","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",10467,NA,NA
NA,"BRONX",2017-01-03,"Pizza","KATONAH PIZZA",7,"KATONAH AVE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10470,"A",NA
NA,"BRONX",2017-01-03,"Bottled beverages, including water, sodas, juices, etc.","JUST ONE TAVERN",7,"KATONAH AVE","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10470,"A",NA
NA,"BRONX",2017-01-03,"Irish","RAMBLING HOUSE",12,"KATONAH AVE","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10470,"A",NA
NA,"BRONX",2017-01-03,"American","MCDONALD'S",12,"CONNER ST","Evidence of mice or live mice present in facility's food and/or non-food areas.",10475,"A",NA
NA,"BRONX",2017-01-03,"Chinese","CHINA INN BUFFET",51,"COOP CITY BOULEVARD","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10475,NA,NA
NA,"BRONX",2017-01-03,"Mexican","TACO BELL",7,"CONNER ST","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10475,"A",NA
NA,"BRONX",2017-01-03,"Chinese","BEST CHINESE RESTAURANT",17,"BOSTON ROAD","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10475,NA,NA
NA,"QUEENS",2017-01-03,"American","AVE COFFEE HOUSE",22,"GREENPOINT AVENUE","Wiping cloths soiled or not stored in sanitizing solution.",11104,NA,NA
NA,"QUEENS",2017-01-03,"Spanish","PECAS Y ALGO MAS",7,"GREENPOINT AVE","Thawing procedures improper.",11104,"A",NA
NA,"QUEENS",2017-01-03,"Mexican","MISTER BURRITO LOCO",23,"GREENPOINT AVE","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",11104,NA,NA
NA,"QUEENS",2017-01-03,"Asian","PUNDA TIBETAN RESTAURANT",13,"47TH AVE","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",11104,NA,NA
NA,"QUEENS",2017-01-03,"American","SIDETRACKS RESTAURANT",9,"QUEENS BOULEVARD","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",11104,NA,NA
NA,"QUEENS",2017-01-03,"Bakery","PARIS BAGUETTE",10,"46TH ST","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11104,"A",NA
NA,"QUEENS",2017-01-03,"Chinese","GOLDEN WOK RC INC",13,"43RD AVE","Food contact surface not properly maintained.",11104,"A",NA
NA,"QUEENS",2017-01-03,"Mexican","Sunnyside Taco",7,"GREENPOINT AVE","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",11104,"A",NA
NA,"BROOKLYN",2017-01-03,"American","THE CUSTOM HOUSE",21,"MONTAGUE STREET","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",11201,NA,NA
NA,"BROOKLYN",2017-01-03,"Barbecue","DALLAS BBQ",12,"LIVINGSTON STREET","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11201,"A",NA
NA,"BROOKLYN",2017-01-03,"Chinese","FOOD SING RESTAURANT",9,"GRAND STREET","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",11211,"A",NA
NA,"BROOKLYN",2017-01-03,"American","BAGELSMITH",17,"BEDFORD AVENUE","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",11211,NA,NA
NA,"BROOKLYN",2017-01-03,"CafÃ©/Coffee/Tea","ATLAS CAFE",12,"HAVEMEYER STREET","Food Protection Certificate not held by supervisor of food operations.",11211,"A",NA
NA,"BROOKLYN",2017-01-03,"American","LODGE",11,"GRAND STREET","''''Wash hands sign not posted at hand wash facility.",11211,"A",NA
NA,"BROOKLYN",2017-01-03,"Other","HAPPY & HEALTHY",17,"18 AVENUE","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",11214,NA,NA
NA,"BROOKLYN",2017-01-03,"Chinese","NO. 1 CHINESE RESTAURANT",17,"21 AVENUE","Live roaches present in facility's food and/or non-food areas.",11214,NA,NA
NA,"BROOKLYN",2017-01-03,"Pizza","TATO'S PIZZA",4,"18 AVENUE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11214,"A",NA
NA,"BROOKLYN",2017-01-03,"American","PADDY'S OF PARK SLOPE",17,"13TH ST","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11215,NA,NA
NA,"BROOKLYN",2017-01-03,"American","FAMOUS ROTISSERIE & GRILL",17,"MERMAID AVE","Evidence of mice or live mice present in facility's food and/or non-food areas.",11224,NA,NA
NA,"BROOKLYN",2017-01-03,"American","APPLEBEE'S",10,"SURF AVE","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11224,"A",NA
NA,"BROOKLYN",2017-01-03,"Italian","F&M CAFE & RESTAURANT",20,"VAN BRUNT ST","Thawing procedures improper.",11231,NA,NA
NA,"BROOKLYN",2017-01-03,"Chinese","ZENG'S RESTAURANT",11,"FOURTH AVENUE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11232,"A",NA
NA,"BROOKLYN",2017-01-03,"Russian","NEW CAFE MINUTKA-HOME KITCHEN",8,"BRIGHTON BEACH AVENUE","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11235,"A",NA
NA,"BROOKLYN",2017-01-03,"Mediterranean","FACTORY CAFE NYC",5,"SHEEPSHEAD BAY RD","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11235,NA,NA
NA,"BROOKLYN",2017-01-03,"Middle Eastern","CHAYHANA SALOM",5,"SHEEPSHEAD BAY ROAD","Wiping cloths soiled or not stored in sanitizing solution.",11235,"A",NA
NA,"BROOKLYN",2017-01-03,"Spanish","EXQUISITO DOMINICAN RESTAURANT",12,"GATES AVE","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",11237,"A",NA
NA,"BROOKLYN",2017-01-03,"Mexican","SANTA ANA DELI & GROCERY",24,"IRVING AVE","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",11237,NA,NA
NA,"BROOKLYN",2017-01-03,"American","Cape House",47,"KNICKERBOCKER AVE","Food contact surface improperly constructed or located. Unacceptable material used.",11237,NA,NA
NA,"QUEENS",2017-01-03,"Chinese","LAOCHENGYIGUO",12,"37TH AVE","Wiping cloths soiled or not stored in sanitizing solution.",11354,"A",NA
NA,"QUEENS",2017-01-03,"Chinese","Q & L SHUNJIA",88,"40TH RD","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",11354,NA,NA
NA,"QUEENS",2017-01-03,"Korean","WANG MANDOO HOUSE",10,"NORTHERN BLVD","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11354,"A",NA
NA,"QUEENS",2017-01-03,"Continental","ALTA VILLA DELICATESSEN",13,"INTERNATIONAL AIRPORT CENTER BLVD","Hot food item not held at or above 140Âº F.",11413,NA,NA
NA,"QUEENS",2017-01-03,"Caribbean","SILVER KRUST WEST INDIAN RESTAURANT",28,"MERRICK BOULEVARD","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",11413,NA,NA
NA,"QUEENS",2017-01-03,"Sandwiches/Salads/Mixed Buffet","SUBWAY",10,"N CONDUIT AVE","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",11413,"A",NA
NA,"QUEENS",2017-01-03,"Chicken","KENNEDY CHICKEN",18,"243RD ST","Food contact surface not properly maintained.",11422,NA,NA
NA,"QUEENS",2017-01-03,"Chinese","NEW KIM'S CHINESE FOOD",17,"MERRICK BOULEVARD","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11422,NA,NA
NA,"QUEENS",2017-01-03,"Caribbean","HENRICA'S RESTAURANT",21,"FRANCIS LEWIS BOULEVARD","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",11422,"B",NA
NA,"QUEENS",2017-01-03,"Pizza","DOMINO'S",17,"S CONDUIT AVE","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",11422,NA,NA
NA,"QUEENS",2017-01-03,"American","SPORTS MANIA BAR & GRILL",18,"243 STREET","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",11422,NA,NA
NA,"QUEENS",2017-01-03,"Soul Food","FREDERICK SOUL HOLE",7,"MERRICK BLVD","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11422,"A",NA
NA,"QUEENS",2017-01-03,"Pizza","MARIO'S PIZZA",13,"FRANCIS LEWIS BOULEVARD","Wiping cloths soiled or not stored in sanitizing solution.",11422,"A",NA
NA,"QUEENS",2017-01-03,"Soul Food","SOUL CITY RESTAURANT",20,"MERRICK BLVD","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",11434,NA,NA
NA,"MANHATTAN",2017-01-04,"Spanish","MILANES SPANISH RESTAURANT",49,"WEST   25 STREET","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10001,NA,NA
NA,"MANHATTAN",2017-01-04,"American","TOMMY HILFIGER",6,"WEST   26 STREET","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,"A",NA
NA,"MANHATTAN",2017-01-04,"Hotdogs/Pretzels","AUNTIE ANNE'S PRETZELS, PINKBERRY",19,"W 34TH ST","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",10001,NA,NA
NA,"MANHATTAN",2017-01-04,"CafÃ©/Coffee/Tea","CAFFEBENE",15,"8TH AVE","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,NA,NA
NA,"MANHATTAN",2017-01-04,"Italian","STELLA 34",21,"WEST   34 STREET","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,NA,NA
NA,"MANHATTAN",2017-01-04,"Chinese","FUNG TU",8,"ORCHARD ST","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10002,"A",NA
NA,"MANHATTAN",2017-01-04,"Thai","WOK TO WALK",26,"UNION SQ E","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",10003,NA,NA
